unit_id,property_id,property_name,unit_type,bedrooms_min,bedrooms_max,bathrooms_min,bathrooms_max,area_min_sqft,area_max_sqft,price_min,price_max,currency,payment_plan,down_payment,installment_years,availability_status,price_status,price_source,last_verified,confidence_score
88c9f0b0_29ea_f011_8406_70a8a5211049_inventory,88c9f0b0_29ea_f011_8406_70a8a5211049,Al Refaa,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,active,unknown,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Refaa&pageNumber=1&pageSize=100,2026-06-24,0.60
f0d34484_309f_ee11_a2bf_00155d119841_inventory,f0d34484_309f_ee11_a2bf_00155d119841,Al Rumaila 1,Commercial,1,3,unknown,unknown,unknown,unknown,15600,15600,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Rumaila%201&pageNumber=1&pageSize=100,2026-06-24,0.80
18b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,18b8dd4b_0ad1_e811_a2b8_00155d119707,Al Rumailah,Commercial,1,3,unknown,unknown,unknown,unknown,21600,21600,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Rumailah&pageNumber=1&pageSize=100,2026-06-24,0.80
86b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,86b8dd4b_0ad1_e811_a2b8_00155d119707,Al Rumailah New Villas,Villa,unknown,unknown,unknown,unknown,unknown,unknown,102000,102000,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Rumailah%20New%20Villas&pageNumber=1&pageSize=100,2026-06-24,0.80
11f6f9c7_d27d_ec11_a2ca_00155d119619_inventory,11f6f9c7_d27d_ec11_a2ca_00155d119619,Al Sediq,Commercial,1,3,unknown,unknown,unknown,unknown,19200,19200,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Sediq&pageNumber=1&pageSize=100,2026-06-24,0.80
32b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,32b8dd4b_0ad1_e811_a2b8_00155d119707,Al Shahba,Leasing,1,3,unknown,unknown,unknown,unknown,27000,27000,AED,Up to 6 Installments,unknown,up to 6 installments,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Shahba&pageNumber=1&pageSize=100,2026-06-24,0.86
90b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,90b8dd4b_0ad1_e811_a2b8_00155d119707,Al Sheikh Humaid Building (Abu-Dhabi),Commercial,1,3,unknown,unknown,unknown,unknown,37800,37800,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Sheikh%20Humaid%20Building%20(Abu-Dhabi)&pageNumber=1&pageSize=100,2026-06-24,0.80
b4b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,b4b8dd4b_0ad1_e811_a2b8_00155d119707,Al Sheikha Fatima Building (Abu-Dhabi),Commercial,1,3,unknown,unknown,unknown,unknown,36750,36750,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Sheikha%20Fatima%20Building%20(Abu-Dhabi)&pageNumber=1&pageSize=100,2026-06-24,0.80
44f00817_9e49_eb11_a2c6_00155d119619_inventory,44f00817_9e49_eb11_a2c6_00155d119619,Al Shorouq,Commercial,0,3,unknown,unknown,unknown,unknown,14400,14400,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Shorouq&pageNumber=1&pageSize=100,2026-06-24,0.80
0eb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,0eb8dd4b_0ad1_e811_a2b8_00155d119707,Al Suwan,Commercial,1,3,unknown,unknown,unknown,unknown,28800,28800,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Suwan&pageNumber=1&pageSize=100,2026-06-24,0.80
10b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,10b8dd4b_0ad1_e811_a2b8_00155d119707,Al Tameer,Commercial,1,3,unknown,unknown,unknown,unknown,40800,40800,AED,unknown,unknown,unknown,active,official_published_start_price,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Tameer&pageNumber=1&pageSize=100,2026-06-24,0.80
