asset_id,asset_type,title,url,project,developer,source_page
project_image_9cb8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Madina Tower primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728555758/Aqaar/Main%20Portal/community/images/Al_Madina_Tower/Al%20Suwan-1728555758.png,Al Madina Tower,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Madina%20Tower&pageNumber=1&pageSize=100
project_image_7cb8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Manama Buildings primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728877509/Aqaar/Main%20Portal/community/images/Al_Manama_Buildings/WhatsApp%20Image%202024-10-11%20at%2011.27.32%20AM-1728877509.jpg,Al Manama Buildings,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Buildings&pageNumber=1&pageSize=100
project_image_48b8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Manama Old Clinic primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728631043/Aqaar/Main%20Portal/community/images/Al_Manama_Old_Clinic/WhatsApp%20Image%202024-10-11%20at%209.43.15%20AM-1728631043.png,Al Manama Old Clinic,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manama%20Old%20Clinic&pageNumber=1&pageSize=100
project_image_0ab8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Manara primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1737008266/Aqaar/Main%20Portal/community/images/Al_Manara/wwwwwww-1737008266.jpg,Al Manara,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Manara&pageNumber=1&pageSize=100
project_image_12b8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Monaliza primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728554405/Aqaar/Main%20Portal/community/images/Al_Monaliza/_DSC1844-1728554404.jpg,Al Monaliza,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Monaliza&pageNumber=1&pageSize=100
project_image_b2b8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Musalla Building (Kempinski) primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728881044/Aqaar/Main%20Portal/community/images/Al_Musalla_Building_%28Kempinski%29/876-1728881044.png,Al Musalla Building (Kempinski),Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Musalla%20%20Building%20(Kempinski)&pageNumber=1&pageSize=100
project_image_00b8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Muthaf primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1737008445/Aqaar/Main%20Portal/community/images/Al_Muthaf/lkkmdslg%2CZXDF-1737008445.jpg,Al Muthaf,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Muthaf&pageNumber=1&pageSize=100
project_image_fcb7dd4b_0ad1_e811_a2b8_00155d119707,image,Al Nakheel 1 primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728554227/Aqaar/Main%20Portal/community/images/Al_Nakheel_1/_DSC1863-1728554227.jpg,Al Nakheel 1,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nakheel%201&pageNumber=1&pageSize=100
project_image_29eb4220_c77d_ec11_a2ca_00155d119619,image,Al Nakheel 2 primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728474654/Aqaar/Main%20Portal/community/images/Al_Nakheel_2/_DSC1634-1728474654.jpg,Al Nakheel 2,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nakheel%202&pageNumber=1&pageSize=100
project_image_06b8dd4b_0ad1_e811_a2b8_00155d119707,image,Al Nasr primary image,https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728554039/Aqaar/Main%20Portal/community/images/Al_Nasr/_DSC1856-1728554038.jpg,Al Nasr,Aqaar,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Nasr&pageNumber=1&pageSize=100
